Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,351.75,351.75,351.75,351.75,147.65528899999998,0
2000-01-03,351.75,351.75,351.75,351.75,147.65528899999998,0
2000-01-04,340.0,350.0,332.0,332.25,139.46971100000002,2200292
2000-01-05,331.0,336.5,325.0,335.5,140.833954,3942353
2000-01-06,338.0,343.0,325.0,328.25,137.790634,15193294
2000-01-07,330.0,347.0,329.0,331.25,139.049927,16200615
2000-01-10,334.799988,339.0,325.5,326.75,137.160919,5785364
2000-01-11,325.0,326.5,306.0,306.5,128.660507,5322914
2000-01-12,311.5,316.5,295.5,312.0,130.969254,13202870
2000-01-13,320.0,328.0,310.0,323.25,135.69172700000001,15667700
2000-01-14,324.399994,328.0,317.0,324.0,136.006546,9458102
2000-01-17,321.799988,330.0,319.0,320.0,134.327484,7865851
2000-01-18,320.0,330.5,320.0,321.25,134.852173,8413766
2000-01-19,320.0,325.0,306.299988,313.25,131.493988,19096788
2000-01-20,316.799988,316.799988,301.299988,303.75,127.506149,4175426
2000-01-21,312.0,312.0,297.0,300.0,125.932014,7403057
2000-01-24,300.0,312.5,293.0,294.5,123.62320700000001,6308302
2000-01-25,291.0,296.0,278.0,284.0,119.215607,5972445
2000-01-26,279.0,292.0,275.0,286.5,120.265045,15480856
2000-01-27,280.799988,291.0,275.0,277.5,116.48708300000001,3625179
2000-01-28,278.0,280.5,257.25,266.5,111.869598,6798431
2000-01-31,268.0,277.0,260.0,272.75,114.493172,5765866
2000-02-01,273.0,276.0,265.0,271.25,113.86351,4393108
2000-02-02,267.700012,274.5,256.0,264.75,111.135002,3101138
2000-02-03,280.25,296.0,266.0,281.75,118.271149,7295604
2000-02-04,283.799988,290.0,272.5,276.25,115.962387,27357140
2000-02-07,276.5,285.0,276.5,282.25,118.48101799999999,10233893
2000-02-08,282.25,285.0,234.25,258.25,108.406456,20918204
2000-02-09,261.0,289.5,253.0,279.0,117.116745,16350273
2000-02-10,274.5,290.0,273.5,285.5,119.84526799999999,16238465
2000-02-11,284.0,289.799988,265.0,278.75,117.01179499999999,16173035
2000-02-14,278.056,294.0,270.0,292.0,122.57382199999999,14361495
2000-02-15,291.0,293.25,273.0,277.5,116.48708300000001,10382966
2000-02-16,276.0,285.5,267.0,282.5,118.58593799999998,17169540
2000-02-17,273.25,319.0,272.0,304.25,127.71601100000001,27168784
2000-02-18,300.0,310.0,288.0,290.25,121.839203,3525881
2000-02-21,296.74301099999997,298.0,275.0,275.5,115.647552,5343496
2000-02-22,275.5,281.0,252.5,259.5,108.931175,6580978
2000-02-23,259.5,265.0,252.0,256.5,107.671844,8622820
2000-02-24,256.200012,268.0,256.0,260.75,109.455894,3824073
2000-02-25,270.0,270.5,256.0,264.25,110.925102,3952437
2000-02-28,270.0,292.0,263.0,266.0,111.659706,2252237
2000-02-29,269.5,272.5,255.5,260.5,109.350952,2572533
2000-03-01,265.0,270.5,260.0,267.5,112.289383,3990528
2000-03-02,270.0,275.5,253.0,266.75,111.974525,3502918
2000-03-03,276.5,285.5,261.0,283.75,119.11068,3816094
2000-03-06,284.5,286.799988,267.0,274.25,115.122826,6433169
2000-03-07,288.0,294.25,259.0,261.0,109.56086,10472085
2000-03-08,264.0,288.0,243.0,248.0,104.10379,58791580
2000-03-09,261.0,264.0,245.5,252.0,105.78288300000001,17891094
2000-03-10,265.0,265.0,246.0,249.25,104.628525,12064095
2000-03-13,239.0,250.0,224.0,234.75,106.166168,10675728
