Date,Open,High,Low,Close,Adj Close,Volume
2006-10-09,560.0,605.0,560.0,576.0,448.84432999999996,27574870
2006-10-10,571.5,583.5,571.5,578.5,450.79247999999995,14242017
2006-10-11,561.0,582.0,561.0,574.0,447.285797,21666844
2006-10-12,577.0,577.5,566.0,574.0,447.285797,26306112
2006-10-13,578.5,580.0,568.0,572.0,445.727295,16972049
2006-10-16,570.0,574.0,564.0,570.0,444.168793,9987233
2006-10-17,566.5,570.0,558.0,559.5,435.98687699999994,14282013
2006-10-18,560.0,591.0,559.0,581.0,452.74060099999997,27097298
2006-10-19,575.5,588.0,570.5,578.0,450.40280199999995,11832822
2006-10-20,575.0,595.0,575.0,588.5,458.584839,9696055
2006-10-23,589.0,590.0,580.5,585.0,455.857574,6387282
2006-10-24,586.5,592.5,585.0,590.0,459.753784,11666903
2006-10-25,590.0,590.0,583.5,590.0,459.753784,5044248
2006-10-26,590.0,590.0,583.5,583.5,454.68865999999997,3537800
2006-10-27,585.0,585.0,570.0,573.5,446.896393,6538350
2006-10-30,572.0,575.0,565.5,571.5,445.337799,3081313
2006-10-31,572.0,577.5,567.0,577.0,449.62362699999994,6137392
2006-11-01,572.5,579.5,571.0,572.5,446.116943,6640225
2006-11-02,570.0,575.0,562.0,565.0,440.272644,9036440
2006-11-03,573.5,582.0,569.0,578.0,450.40280199999995,9571041
2006-11-06,572.0,577.0,571.5,577.0,449.62362699999994,6618246
2006-11-07,575.5,594.0,575.5,591.0,460.53302,5501093
2006-11-08,590.0,595.0,582.5,587.0,457.415985,5842247
2006-11-09,585.0,587.5,580.5,581.5,453.13030999999995,6705834
2006-11-10,582.0,592.0,575.0,586.0,456.636841,2742640
2006-11-13,588.0,602.0,588.0,599.5,467.15667699999995,5768044
2006-11-14,597.0,628.0,595.0,615.0,479.23492400000003,17206338
2006-11-15,620.0,620.0,606.0,611.0,476.11779800000005,8718203
2006-11-16,608.5,612.0,595.0,604.0,470.663208,5336937
2006-11-17,605.0,609.0,600.0,602.5,469.494202,8328417
2006-11-20,598.5,610.0,590.5,600.0,467.546143,5318353
2006-11-21,599.0,624.5,598.0,619.5,482.741425,19748704
2006-11-22,617.5,623.0,611.5,611.5,476.507446,10328314
2006-11-23,616.5,623.0,609.5,613.0,477.67633099999995,7967533
2006-11-24,614.5,616.5,590.5,600.5,467.93591299999997,11184525
2006-11-27,598.5,604.0,585.5,586.0,456.636841,5296998
2006-11-28,585.5,589.0,563.5,566.0,441.051941,19607772
2006-11-29,570.0,584.0,570.0,577.0,449.62362699999994,9822536
2006-11-30,575.0,590.5,575.0,587.0,457.415985,7343639
2006-12-01,593.5,604.0,578.0,580.0,451.96133399999997,8732727
2006-12-04,578.5,584.0,574.0,574.0,447.285797,3795899
2006-12-05,574.0,578.0,570.0,572.0,445.727295,4597573
2006-12-06,570.0,577.0,568.0,575.0,448.065155,5049742
2006-12-07,570.0,585.5,570.0,584.5,455.468018,11859581
2006-12-08,582.0,586.0,577.0,580.0,451.96133399999997,4830171
2006-12-11,583.5,588.5,578.0,579.5,451.57174699999996,6803044
2006-12-12,583.0,583.0,574.0,580.0,451.96133399999997,8495256
2006-12-13,577.5,594.0,576.5,582.0,453.519867,12409602
2006-12-14,580.0,592.0,580.0,586.0,456.636841,6665752
2006-12-15,588.5,592.5,585.5,587.5,457.805664,6601156
2006-12-18,590.0,592.0,584.0,587.5,457.805664,5563064
2006-12-19,585.5,589.0,584.0,587.5,457.805664,5435222
2006-12-20,591.0,606.0,591.0,593.0,462.091583,6499026
2006-12-21,592.0,596.0,590.0,591.0,460.53302,2553893
2006-12-22,593.0,597.5,584.0,597.0,465.208466,752517
2006-12-27,600.0,605.0,595.5,600.0,467.546143,1183236
2006-12-28,600.0,600.0,593.5,596.5,464.81890899999996,773200
2006-12-29,595.0,605.5,594.0,599.5,467.15667699999995,2052706
2007-01-02,603.0,603.0,596.0,598.0,465.98764000000006,6386797
2007-01-03,598.0,599.0,593.5,596.0,466.723846,7310341
2007-01-04,594.0,595.5,582.0,589.0,461.242157,4867615
2007-01-05,585.5,594.0,585.5,589.0,461.242157,3592178
2007-01-08,588.0,593.0,585.0,587.5,460.067474,4951079
2007-01-09,593.0,598.0,590.0,594.0,465.157562,7117656
2007-01-10,594.0,600.0,578.5,580.0,454.194305,26080390
2007-01-11,580.0,591.5,574.5,587.5,460.067474,8479630
2007-01-12,588.5,591.0,583.0,586.0,458.89294400000006,10022544
2007-01-15,586.5,593.0,583.0,590.5,462.41674800000004,4847395
2007-01-16,591.0,593.5,586.0,586.0,458.89294400000006,8672970
2007-01-17,587.0,588.5,579.0,585.0,458.10980199999995,4894464
2007-01-18,590.0,590.0,590.0,590.0,462.02526900000004,6114730
2007-01-19,592.0,592.0,584.0,586.0,458.89294400000006,10834050
2007-01-22,585.0,592.5,584.0,587.0,459.675873,3605111
2007-01-23,586.0,590.0,581.0,587.5,460.067474,6602127
2007-01-24,587.5,599.0,585.5,596.0,466.723846,10117370
2007-01-25,591.5,596.0,580.5,581.0,454.977478,11476323
2007-01-26,580.0,581.0,574.0,575.0,450.2789,11105423
2007-01-29,576.0,578.0,570.5,576.5,451.45346100000006,7347754
2007-01-30,577.0,581.5,571.5,576.0,451.06192000000004,7043903
2007-01-31,574.0,580.5,574.0,577.5,452.23648099999997,5870249
2007-02-01,578.0,597.5,578.0,591.0,462.80835,19622240
2007-02-02,595.0,608.0,592.0,604.0,472.988525,13088641
2007-02-05,604.0,608.5,597.0,599.0,469.073151,3911143
2007-02-06,601.0,606.5,598.0,605.0,473.771637,3493305
2007-02-07,605.0,605.0,598.5,600.0,469.85610999999994,5603378
2007-02-08,605.0,607.0,595.5,597.5,467.898468,5546117
2007-02-09,597.5,606.0,597.5,603.0,472.205383,3594546
2007-02-12,599.5,602.5,594.5,596.5,467.115417,2526808
2007-02-13,609.5,609.5,600.0,602.0,471.42230199999995,3919404
2007-02-14,601.0,605.0,596.5,600.0,469.85610999999994,3365149
2007-02-15,603.5,605.0,597.0,602.0,471.42230199999995,7840180
2007-02-16,600.0,612.5,600.0,612.0,479.25332599999996,9965907
2007-02-19,610.5,625.5,610.5,622.0,487.08432,8501668
2007-02-20,624.0,624.0,608.5,612.0,479.25332599999996,7259730
2007-02-21,618.0,620.5,609.0,611.5,478.86175499999996,8862904
2007-02-22,615.5,621.0,610.0,618.5,484.34338399999996,5974456
2007-02-23,621.5,623.5,611.0,622.5,487.475769,6604672
2007-02-26,623.0,637.0,623.0,631.5,494.523529,6872213
2007-02-27,631.0,631.0,599.5,604.0,472.988525,10473844
2007-02-28,596.5,606.0,587.0,595.5,466.332275,10729175
2007-03-01,592.0,611.0,587.5,593.0,464.37466399999994,13535407
2007-03-02,593.0,598.0,581.5,585.0,458.10980199999995,9185435
2007-03-05,580.0,582.5,568.0,572.5,448.321167,11540493
2007-03-06,575.5,583.0,570.5,580.0,454.194305,7361121
2007-03-07,577.5,583.0,577.5,581.0,454.977478,5560196
2007-03-08,584.5,598.0,580.0,593.5,464.76617400000003,9765049
2007-03-09,592.0,600.0,583.0,591.5,463.19989000000004,6660273
2007-03-12,595.5,596.0,587.0,587.5,460.067474,3777900
2007-03-13,582.5,590.0,579.5,582.0,455.760529,6818247
2007-03-14,571.5,577.0,561.5,570.0,446.363342,8434419
2007-03-15,578.0,590.0,574.0,585.0,458.10980199999995,5068097
2007-03-16,585.0,589.0,577.5,578.5,453.019653,5765409
2007-03-19,579.5,590.0,579.5,588.0,460.459015,3715796
2007-03-20,586.5,594.0,583.5,590.0,462.02526900000004,7959388
