Date,Open,High,Low,Close,Adj Close,Volume
2004-12-21,450.0,457.0,448.0,454.0,121.708244,2677486
2004-12-22,450.5,450.22500599999995,448.5,450.0,120.63594099999999,513129
2004-12-23,450.5,450.5,450.5,450.5,120.769966,0
2004-12-24,450.5,450.5,450.5,450.5,120.769966,0
2004-12-27,450.5,450.5,450.5,450.5,120.769966,0
2004-12-28,450.5,450.5,450.5,450.5,120.769966,0
2004-12-29,450.5,450.5,450.5,450.5,120.769966,0
2004-12-30,450.5,450.5,450.5,450.5,120.769966,0
2004-12-31,450.5,450.5,450.5,450.5,120.769966,0
2005-01-03,450.5,450.5,450.5,450.5,120.769966,0
2005-01-04,450.5,450.5,450.5,450.5,120.769966,0
2005-01-05,450.5,450.5,450.5,450.5,120.769966,0
2005-01-06,450.5,450.5,450.5,450.5,120.769966,0
2005-01-07,450.5,450.5,450.5,450.5,120.769966,0
2005-01-10,446.5,446.5,446.5,446.5,119.69765500000001,0
2005-01-11,446.5,446.5,446.5,446.5,119.69765500000001,3500
2005-01-12,446.5,446.5,446.5,446.5,119.69765500000001,0
2005-01-13,446.5,448.0,444.0,448.0,120.0998,27593
2005-01-14,446.5,446.5,446.5,446.5,119.69765500000001,0
2005-01-17,453.5,453.5,453.5,453.5,121.57418799999999,0
2005-01-18,495.0,495.0,495.0,495.0,132.699493,0
2005-01-19,497.0,517.0319820000001,487.243988,511.0,136.9888,647784
2005-01-20,512.5,532.0,470.0,524.0,140.473816,42326
2005-01-21,524.0,560.0,521.0,560.5,150.258728,800498
2005-01-24,571.5,598.0,565.0,593.0,158.971344,413733
2005-01-25,595.0,640.0,600.0,630.0,168.890274,179888
2005-01-26,630.0,652.0,620.0,632.5,169.560471,422994
2005-01-27,632.5,642.5,622.0,635.0,170.23066699999998,49083
2005-01-28,636.0,680.0,624.375,673.5,180.551773,1114132
2005-01-31,675.0,695.0,670.0,679.0,182.02621499999998,420107
2005-02-01,681.5,688.0,681.5,679.0,182.02621499999998,66400
2005-02-02,679.0,683.0,668.0,676.5,181.355988,194368
2005-02-03,682.5,725.0,680.0,719.0,192.749405,1107913
2005-02-04,719.0,730.0,710.0,719.0,192.749405,303074
2005-02-07,721.5,782.0,711.299988,746.5,200.121613,366918
2005-02-08,746.5,753.130005,718.0,747.5,200.389694,253363
2005-02-09,750.0,761.0,735.0,745.0,199.719437,332660
2005-02-10,745.0,745.0,707.0,740.0,198.379028,266313
2005-02-11,740.0,745.0,726.869995,732.5,196.368469,35789
2005-02-14,732.5,738.130005,693.0,704.5,188.862244,238194
2005-02-15,704.5,715.0,670.0,682.5,182.964478,50720
2005-02-16,682.5,690.0,670.0,680.0,182.29423500000001,62225
2005-02-17,680.0,712.0,672.5,702.5,188.326096,1225311
2005-02-18,706.0,721.0,700.0,708.5,189.93454,102407
2005-02-21,708.5,720.0,690.0,696.5,186.71760600000002,32362
2005-02-22,696.5,705.0,690.0,696.5,186.71760600000002,303492
2005-02-23,695.0,705.0,688.0,687.5,184.304916,358684
2005-02-24,687.5,700.0,678.0,687.5,184.304916,213305
2005-02-25,687.5,710.0,675.0,700.0,187.65588400000001,148142
2005-02-28,700.0,728.0,695.0,717.5,192.347305,257620
2005-03-01,715.0,722.0,700.0,707.5,189.666504,217481
