Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,1246.01001,1246.01001,1246.01001,1246.01001,737.105713,0
2000-01-03,1246.01001,1246.01001,1246.01001,1246.01001,737.105713,0
2000-01-04,1270.01001,1339.01001,1150.01001,1209.01001,715.217407,157939
2000-01-05,1154.01001,1290.01001,1094.01001,1184.01001,700.428162,40922
2000-01-06,1199.01001,1200.01001,1085.01001,1118.01001,661.384277,93139
2000-01-07,1100.01001,1138.01001,1100.01001,1120.01001,662.5673830000001,473443
2000-01-10,1117.199951,1224.01001,1117.199951,1201.01001,710.484924,191955
2000-01-11,1185.01001,1185.01001,1157.01001,1167.01001,690.371399,143295
2000-01-12,1155.01001,1168.01001,1142.01001,1150.01001,680.314697,751684
2000-01-13,1165.01001,1173.01001,1115.01001,1140.01001,674.398926,244634
2000-01-14,1142.01001,1153.01001,1113.01001,1153.01001,682.089478,257781
2000-01-17,1148.01001,1200.01001,1148.01001,1180.01001,698.061951,630453
2000-01-18,1250.01001,1445.01001,1180.01001,1314.01001,777.332642,2209641
2000-01-19,1320.01001,1338.01001,1182.01001,1236.01001,731.190125,1593040
2000-01-20,1233.01001,1373.01001,1222.01001,1347.01001,796.854614,1402310
2000-01-21,1257.01001,1374.01001,1257.01001,1348.01001,797.446106,796676
2000-01-24,1315.01001,1368.01001,1315.01001,1356.01001,802.178711,570011
2000-01-25,1350.01001,1368.01001,1312.01001,1337.01001,790.9386599999999,571227
2000-01-26,1338.01001,1399.01001,1330.01001,1368.01001,809.277588,619707
2000-01-27,1436.01001,1437.01001,1349.01001,1397.01001,826.433289,643145
2000-01-28,1400.01001,1440.01001,1383.01001,1383.01001,818.151184,488170
2000-01-31,1375.01001,1403.01001,1335.01001,1395.01001,825.2497559999999,320592
2000-02-01,1345.01001,1373.01001,1336.01001,1351.01001,799.2207639999999,421132
2000-02-02,1339.01001,1408.01001,1339.01001,1396.01001,825.841553,676875
2000-02-03,1392.869995,1464.51001,1358.01001,1443.02002,853.65155,484787
2000-02-04,1412.01001,1428.01001,1370.01001,1390.01001,822.292236,436112
2000-02-07,1332.01001,1424.01001,1332.01001,1382.01001,817.559753,356590
2000-02-08,1382.01001,1445.01001,1254.01001,1419.01001,839.447571,2143285
2000-02-09,1395.01001,1474.01001,1395.01001,1413.01001,835.898315,651795
2000-02-10,1400.01001,1449.01001,1375.01001,1398.01001,827.024719,742120
2000-02-11,1329.01001,1400.01001,1256.01001,1385.01001,819.334412,468277
2000-02-14,1385.01001,1393.01001,1375.01001,1381.01001,816.9680179999999,359460
2000-02-15,1375.01001,1400.01001,1306.01001,1350.01001,798.629272,461775
2000-02-16,1379.01001,1400.01001,1261.01001,1350.01001,798.629272,307979
2000-02-17,1347.410034,1370.01001,1311.01001,1330.01001,786.7976679999999,535822
2000-02-18,1272.01001,1325.01001,1258.01001,1314.01001,777.332642,327636
2000-02-21,1231.01001,1264.01001,1202.01001,1237.01001,731.781799,308633
2000-02-22,1237.01001,1237.01001,1155.01001,1165.01001,689.1881099999999,347817
2000-02-23,1165.01001,1268.01001,1120.01001,1262.01001,746.570801,161223
2000-02-24,1250.01001,1298.01001,1196.01001,1223.01001,723.499451,179788
2000-02-25,1344.01001,1344.01001,1196.01001,1265.01001,748.345459,65783
2000-02-28,1451.01001,1452.01001,1243.01001,1312.01001,776.149597,175652
2000-02-29,1450.02002,1450.02002,1143.01001,1221.01001,722.3163450000001,107279
2000-03-01,1249.579956,1295.01001,1185.01001,1281.01001,757.8106690000001,134481
2000-03-02,1274.01001,1300.01001,1205.01001,1232.01001,728.823486,157858
2000-03-03,1316.01001,1340.01001,1231.01001,1300.01001,769.0507200000001,203688
2000-03-06,1399.01001,1399.01001,1269.01001,1296.01001,766.6843259999999,241347
2000-03-07,1298.01001,1355.01001,1285.01001,1315.01001,777.924194,321189
2000-03-08,1297.390015,1345.01001,1104.01001,1333.01001,788.572571,389076
2000-03-09,1331.01001,1350.01001,1330.01001,1347.01001,796.854614,302462
2000-03-10,1347.01001,1360.01001,1266.01001,1323.01001,782.656677,273846
2000-03-13,1285.01001,1351.01001,1254.01001,1292.01001,771.90271,114538
2000-03-14,1251.01001,1310.01001,1250.01001,1282.01001,765.928101,196783
2000-03-15,1278.01001,1409.01001,1278.01001,1350.01001,806.554504,159631
2000-03-16,1386.01001,1386.01001,1290.01001,1324.01001,791.020874,234491
2000-03-17,1326.01001,1326.01001,1287.01001,1289.01001,770.110413,129734
2000-03-20,1255.01001,1345.01001,1255.01001,1304.01001,779.072083,198481
2000-03-21,1302.51001,1375.01001,1300.01001,1305.01001,779.6693730000001,171744
2000-03-22,1305.01001,1320.01001,1280.01001,1307.01001,780.864319,92487
2000-03-23,1251.01001,1320.01001,1251.01001,1308.01001,781.461914,114905
2000-03-24,1275.01001,1344.01001,1275.01001,1322.01001,789.825928,212025
2000-03-27,1305.01001,1345.01001,1275.01001,1277.01001,762.941223,604425
2000-03-28,1287.01001,1306.51001,1255.01001,1258.01001,751.589661,225751
2000-03-29,1276.140015,1309.01001,1262.01001,1298.01001,775.487488,368189
2000-03-30,1300.01001,1305.01001,1272.01001,1272.01001,759.9537349999999,194438
2000-03-31,1280.01001,1350.01001,1230.01001,1322.01001,789.825928,451480
2000-04-03,1322.01001,1360.01001,1314.01001,1359.01001,811.9315190000001,291704
2000-04-04,1359.01001,1397.01001,1318.01001,1336.01001,798.190186,283765
2000-04-05,1359.01001,1359.01001,1202.01001,1328.01001,793.41095,24176
2000-04-06,1296.01001,1300.01001,1235.01001,1271.01001,759.3563839999999,130152
2000-04-07,1286.01001,1327.01001,1244.01001,1288.01001,769.513062,106141
2000-04-10,1355.01001,1355.01001,1274.01001,1294.01001,773.097534,493464
2000-04-11,1298.01001,1298.01001,1277.01001,1280.01001,764.7333980000001,254006
2000-04-12,1250.01001,1353.01001,1250.01001,1305.01001,779.6693730000001,71781
2000-04-13,1280.01001,1355.01001,1278.01001,1319.01001,788.033691,182656
2000-04-14,1313.01001,1326.01001,1252.01001,1262.01001,753.9794919999999,144429
2000-04-17,1127.01001,1230.01001,1090.01001,1151.01001,687.66333,73379
2000-04-18,1050.0,1050.0,904.0,992.0,592.663757,221447
2000-04-19,992.5,992.5,875.0,946.0,565.181274,35039
2000-04-20,967.0,1000.0,927.0,996.0,595.053467,72931
2000-04-21,996.0,996.0,996.0,996.0,595.053467,0
2000-04-24,996.0,996.0,996.0,996.0,595.053467,0
2000-04-25,995.0,1011.5,971.0,1007.0,601.625427,187122
2000-04-26,997.0,1000.0,984.0,986.0,589.0791019999999,162488
2000-04-27,920.0,996.0,920.0,994.0,593.858826,26034
2000-04-28,992.0,992.0,950.0,977.0,583.7021480000001,227794
2000-05-01,977.0,977.0,977.0,977.0,583.7021480000001,0
2000-05-02,990.0,1010.0,986.0,1000.0,597.443176,239576
2000-05-03,993.0,999.0,932.0,958.0,572.35083,199564
2000-05-04,950.0,979.5,940.0,945.0,564.5840450000001,55451
2000-05-05,990.0,992.0,950.0,963.0,575.338196,78710
2000-05-08,975.0,994.0,940.0,981.0,586.0919190000001,208637
2000-05-09,1000.0,1020.0,963.0,1010.0,603.4178469999999,781899
2000-05-10,1000.0,1015.0,983.0,1006.0,601.028015,430917
2000-05-11,1015.0,1030.0,993.0,1012.0,604.612671,202517
2000-05-12,1010.0,1018.0,985.0,1012.0,604.612671,108563
2000-05-15,985.0,1028.0,978.0,1005.0,600.430481,91491
2000-05-16,1000.0,1030.0,1000.0,1029.0,614.769104,126758
2000-05-17,1010.0,1060.0,1010.0,1048.0,626.120605,122304
2000-05-18,1052.0,1060.0,1042.0,1053.0,629.10791,85592
2000-05-19,1058.5,1060.0,975.0,1044.0,623.730835,369108
2000-05-22,1098.0,1100.0,1026.0,1074.0,641.6541139999999,346484
2000-05-23,1099.0,1104.0,1053.0,1101.0,657.7850950000001,68474
2000-05-24,1031.0,1063.0,1031.0,1057.0,631.497681,430250
2000-05-25,1081.0,1081.0,1011.0,1035.0,618.353882,46224
2000-05-26,1060.0,1060.0,1015.0,1048.0,626.120605,144573
2000-05-29,1048.0,1048.0,1048.0,1048.0,626.120605,0
2000-05-30,1068.0,1068.0,1058.0,1068.0,638.069397,322079
2000-05-31,1073.0,1073.0,1065.0,1073.0,641.056702,377268
2000-06-01,1113.0,1151.0,1038.0,1113.0,664.9544070000001,94691
2000-06-02,1065.0,1065.0,1065.0,1065.0,636.277161,244977
2000-06-05,1083.0,1110.0,1052.0,1083.0,647.031067,290512
2000-06-06,1102.0,1150.0,1050.0,1085.0,648.226013,463023
2000-06-07,1065.0,1092.0,1030.0,1080.0,645.238892,286719
2000-06-08,1075.0,1085.5,1065.0,1075.0,642.251526,371270
2000-06-09,1100.0,1110.0,1002.0,1091.0,651.81073,355344
2000-06-12,1090.0,1113.0,1075.0,1082.0,646.433716,41103
2000-06-13,1083.900024,1110.0,1081.0,1100.0,657.1877440000001,366047
2000-06-14,1117.0,1120.0,1095.0,1100.0,657.1877440000001,445134
2000-06-15,1005.0,1145.0,1005.0,1115.0,666.149536,585452
2000-06-16,1103.0,1220.0,1052.0,1137.0,679.293091,1446599
2000-06-19,1101.670044,1170.0,1000.0,1115.0,666.149536,754268
2000-06-20,1126.0,1150.0,1100.0,1120.0,669.136414,184070
2000-06-21,1149.5,1149.5,1104.0,1125.0,672.123535,69572
2000-06-22,1130.0,1135.0,1109.0,1115.0,666.149536,712583
2000-06-23,1114.0,1170.0,1113.0,1135.0,678.098206,1768750
2000-06-26,1136.0,1136.0,1108.0,1126.0,672.72113,163999
2000-06-27,1122.0,1199.0,1087.0,1087.0,649.420959,1856201
2000-06-28,1096.0,1151.0,1075.0,1115.0,666.149536,71430
2000-06-29,1070.0,1154.0,1070.0,1133.0,676.903442,149304
2000-06-30,1166.0,1190.0,1144.0,1188.0,709.7626339999999,270183
2000-07-03,1203.0,1217.0,1155.0,1217.0,727.0886230000001,357476
2000-07-04,1163.0,1216.0,1163.0,1207.0,721.114136,336318
2000-07-05,1210.0,1220.0,1149.0,1149.0,686.462585,261312
2000-07-06,1170.0,1170.0,1126.0,1126.0,672.72113,221739
2000-07-07,1140.0,1240.0,1134.0,1240.0,740.829834,211152
2000-07-10,1212.0,1250.0,1196.0,1215.0,725.893738,146818
2000-07-11,1204.0,1273.0,1204.0,1251.0,747.401672,394499
2000-07-12,1251.0,1335.0,1251.0,1275.0,761.73999,2794345
2000-07-13,1254.0,1293.0,1254.0,1288.0,769.507202,765382
2000-07-14,1264.0,1288.0,1264.0,1288.0,769.507202,250244
2000-07-17,1263.0,1280.0,1263.0,1274.0,761.1426389999999,599998
2000-07-18,1275.0,1325.0,1275.0,1315.0,785.638184,1273875
2000-07-19,1153.0,1318.0,1153.0,1307.0,780.8586429999999,315023
2000-07-20,1260.0,1317.0,1260.0,1307.0,780.8586429999999,283718
2000-07-21,1284.0,1305.0,1260.0,1260.0,752.77832,248125
2000-07-24,1284.0,1330.0,1280.0,1330.0,794.599609,70614
2000-07-25,1300.0,1364.0,1300.0,1343.0,802.366272,320272
2000-07-26,1300.0,1340.0,1300.0,1340.0,800.574158,105699
2000-07-27,1370.0,1370.0,1320.0,1323.0,790.417542,418011
2000-07-28,1370.0,1370.0,1321.0,1343.0,802.366272,193688
2000-07-31,1343.0,1343.0,1287.0,1287.0,768.909546,348203
