Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,996.5,996.5,996.5,996.5,659.159119,0
2000-01-03,996.5,996.5,996.5,996.5,659.159119,0
2000-01-04,986.0,998.5,922.0,971.5,642.622253,2286559
2000-01-05,972.5,972.5,922.0,963.5,637.330383,6175760
2000-01-06,970.0,970.0,920.0,924.0,611.2023320000001,3869355
2000-01-07,922.4600220000001,1000.0,890.0,899.5,594.9960940000001,2230422
2000-01-10,922.09198,1050.0,902.0,1011.5,669.081238,8919033
2000-01-11,1016.830017,1095.0,1015.0,1025.5,678.342041,6764266
2000-01-12,1003.0,1200.0,1003.0,1093.5,723.3222049999999,7046671
2000-01-13,1084.0,1139.0,1073.0,1121.0,741.512756,2137651
2000-01-14,1123.5,1290.0,1122.0,1266.0,837.426453,5230190
2000-01-17,1194.0,1289.5,1194.0,1238.0,818.905212,4447973
2000-01-18,1232.0,1243.5,1122.0,1155.5,764.33374,2491948
2000-01-19,1154.0,1194.0,1114.0,1138.5,753.0886230000001,5068509
2000-01-20,1134.0,1167.0,1054.5,1154.0,763.3412480000001,3995618
2000-01-21,1144.0,1235.0,1140.0,1181.0,781.201355,4172672
2000-01-24,1200.0,1357.0,1187.0,1328.5,878.7686160000001,4635555
2000-01-25,1264.0,1350.0,1235.0,1246.0,824.19696,5671614
2000-01-26,1232.0,1280.0,1133.0,1262.5,835.11145,5978381
2000-01-27,1296.0,1296.0,1175.0,1178.0,779.216858,3321088
2000-01-28,1191.0,1320.0,1141.0,1309.5,866.2005,12440390
2000-01-31,1340.0,1460.0,1260.0,1439.5,952.1922,5686257
2000-02-01,1439.5,1575.0,1368.0,1381.0,913.496094,6285940
2000-02-02,1445.719971,1492.5,1360.5,1449.0,958.476257,7893750
2000-02-03,1489.0,1545.0,1413.0,1460.5,966.0832519999999,5060982
2000-02-04,1433.0,1511.75,1425.0,1436.5,950.2081300000001,3938070
2000-02-07,1429.0,1560.0,1429.0,1467.0,970.382751,3455921
2000-02-08,1467.0,1698.5,1419.0,1610.5,1065.3046880000002,5994874
2000-02-09,2000.5,2018.5,1869.0,1910.0,1263.4160160000001,10135143
2000-02-10,1900.0,1996.0,1729.0,1843.5,1219.4279789999998,4678131
2000-02-11,1866.0,1870.0,1670.0,1724.5,1140.712524,6107531
2000-02-14,1736.0,1830.0,1704.0,1807.0,1195.284546,4903273
2000-02-15,1790.0,1830.0,1680.0,1687.5,1116.237793,4094098
2000-02-16,1740.0,1746.0,1687.5,1718.5,1136.743774,3742724
2000-02-17,1719.0,1719.0,1641.0,1699.0,1123.844971,4547844
