Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,5.7388,5.7388,5.7388,5.7388,5.505187,0
2000-01-31,5.3293,5.3293,5.3293,5.3293,5.112357,0
2000-02-29,5.6737,5.6737,5.6737,5.6737,5.442737,0
2000-03-31,5.702,5.702,5.702,5.702,5.469885,0
2000-04-28,5.4775,5.4775,5.4775,5.4775,5.254524,0
2000-05-31,5.3556,5.3556,5.3556,5.3556,5.137586,0
2000-06-30,5.4988,5.4988,5.4988,5.4988,5.274957,0
2000-07-31,5.4022,5.4022,5.4022,5.4022,5.18229,0
2000-08-31,5.7233,5.7233,5.7233,5.7233,5.490319,0
2000-09-29,5.2621,5.2621,5.2621,5.2621,5.047893,0
2000-10-31,5.2393,5.2393,5.2393,5.2393,5.026021,0
2000-11-30,4.9547,4.9547,4.9547,4.9547,4.753006,0
2000-12-29,4.9185,4.9185,4.9185,4.9185,4.718279,0
2001-01-01,4.22,4.22,4.22,4.22,4.048213,0
2001-01-02,4.175,4.21,4.175,4.19,4.019436,41335
2001-01-03,4.15,4.18,4.14,4.15,3.981063,83896
2001-01-04,4.2,4.24,4.2,4.22,4.048213,102843
2001-01-05,4.23,4.26,4.19,4.21,4.038621,108242
2001-01-08,4.185,4.21,4.18,4.195,4.024232,121378
2001-01-09,4.1725,4.195,4.1342,4.16,3.990657,1036365
2001-01-10,4.175,4.175,4.1,4.125,3.9570809999999996,111657
2001-01-11,4.115,4.15,4.11,4.14,3.9714709999999998,85469
2001-01-12,4.1725,4.25,4.1725,4.24,4.0674,227796
2001-01-15,4.245,4.27,4.24,4.255,4.08179,86274
2001-01-16,4.25,4.26,4.182,4.22,4.048213,2168237
2001-01-17,4.21,4.36,4.21,4.345,4.168125,109624
2001-01-18,4.36,4.36,4.33,4.34,4.163329,105567
2001-01-19,4.35,4.3975,4.34,4.36,4.182515,301251
2001-01-22,4.34,4.365,4.33,4.36,4.182515,86622
2001-01-23,4.35,4.37,4.35,4.36,4.182515,962553
2001-01-24,4.36,4.41,4.35,4.4,4.220887,148455
2001-01-25,4.3925,4.4,4.37,4.38,4.201702,172504
2001-01-26,4.38,4.38,4.37,4.375,4.196904,400587
2001-01-29,4.3725,4.4,4.3725,4.395,4.21609,47148
2001-01-30,4.4,4.4,4.38,4.39,4.2112940000000005,77605
2001-01-31,5.1079,5.1079,5.1079,5.1079,4.89997,0
2001-02-01,4.4025,4.4125,4.36,4.375,4.196904,106441
2001-02-02,4.365,4.39,4.365,4.385,4.206498000000001,113120
2001-02-05,4.36,4.39,4.35,4.37,4.192108,114261
2001-02-06,4.355,4.37,4.35,4.36,4.182515,98058
2001-02-07,4.3525,4.36,4.32,4.33,4.153736,112848
2001-02-08,4.3225,4.34,4.305,4.315,4.139347,157886
