name,ticker
Geely Automobile Holdings Limited,0175.HK
Hong Kong Exchanges and Clearing Limited,0388.HK
China Railway Group Limited,0390.HK
Cogobuy Group,0400.HK
Fosun International Limited,0656.HK
Tencent Holdings Limited,0700.HK
Future Land Development Holdings Limited,1030.HK
CRRC Corporation Limited,1766.HK
Sunac China Holdings Limited,1918.HK
Ping An Insurance (Group) Company of China,2318.HK
Great Wall Motor Company Limited,2333.HK
China Evergrande Group,3333.HK
China Merchants Bank,3968.HK
